approval_no,plant_name,company,address,town_region,country,scope,expiry_date,business_no
N2284,Cermaq Norway As Avd Slakteri Steigen,Cermaq Norway As Avd Slakteri Steigen,"Bogøyveien 153, 8288.0 Bogøy, Norway",Bogøy,Norway,"FFPP-P, FFPP-SA",,920248063.0
N2285,Sa-Fish As,Sa-Fish As,"Hestøysundet 35, 8135.0 Sørarnøy, Norway",Sørarnøy,Norway,FFPP,,920292062.0
N2297,Dybos Fisk As,Dybos Fisk As,"Strandveien 30, 8904.0 Brønnøysund, Norway",Brønnøysund,Norway,"FFPP, FFPP-P, PP, PP-KL, PP-SA, PP-ST",,882927512.0
N2301,The Qrill Company As Avd Stamsund,The Qrill Company As Avd Stamsund,"J.M.Johansens Vei 99, 8340.0 Stamsund, Norway",Stamsund,Norway,"FFPP, PP-MA",,988364754.0
N2304,Salten Salmon As,Salten Salmon As,"Dreyfushammarn 30, 8012.0 Bodø, Norway",Bodø,Norway,"FFPP-P, PP",,920315550.0
N2309,Vega Delikatesser As,Vega Delikatesser As,"Igerøy, 8986.0 Vega, Norway",Vega,Norway,"FFPP, PP",,876232332.0
N2315,Safe Track Food As,Safe Track Food As,"Steinesjøveien 73, 8470.0 Bø I Vesterålen, Norway",Bø I Vesterålen,Norway,PP-ST,,916786549.0
N2320,Myre Fiskemottak As Avd Myre,Myre Fiskemottak As Avd Myre,"Bolstads Vei 15, 8430.0 Myre, Norway",Myre,Norway,"FFPP, FFPP-P, PP, PP-ST",,989281682.0
N2334,Beiarvekst As,Beiarvekst As,"Vestre Beiarveien 1042, 8114.0 Tollå, Norway",Tollå,Norway,PP,,988183105.0
N2336,Sten Ivar Nilsen,Sten Ivar Nilsen,"Mærvollveien 187, 8360.0 Bøstad, Norway",Bøstad,Norway,PP-ST,,nan
N2337,Isaksen Arnleik,Isaksen Arnleik,"Oddaveien 22, 8762.0 Sleneset, Norway",Sleneset,Norway,PP-ST,,998982456.0
N2338,Torstein Grønning,Torstein Grønning,"Straumen 23, 8762.0 Sleneset, Norway",Sleneset,Norway,PP-ST,,974284146.0
N2339,Aud Anita Skughei Grønning,Aud Anita Skughei Grønning,"Straumen 23, 8762.0 Sleneset, Norway",Sleneset,Norway,PP-ST,,nan
N2341,Roald Johan Stensland,Roald Johan Stensland,"Steinslandsveien 100, 8754.0 Øresvik, Norway",Øresvik,Norway,PP-ST,,nan
N2342,Frank Roger Andersen,Frank Roger Andersen,"Steinslandsveien 13, 8754.0 Øresvik, Norway",Øresvik,Norway,PP-ST,,nan
N2347,Brimo Fiskeforedling As,Brimo Fiskeforedling As,"Foreveien 135, 8146.0 Reipå, Norway",Reipå,Norway,"FFPP, FFPP-P, PP-SA",,925227390.0
N2349,Calanus As Avd Produksjon,Calanus As Avd Produksjon,"Lilandveien 20, 8407.0 Sortland, Norway",Sortland,Norway,PP-MA,,912404668.0
N2350,Sufi As Avd Sund I Lofoten,Sufi As Avd Sund I Lofoten,"Flakstadveien 487, 8380.0 Ramberg, Norway",Ramberg,Norway,"FFPP, FFPP-P, PP, PP-SA, PP-ST",,975925811.0
N2353,Myre Kystdrift As,Myre Kystdrift As,"Sommarøy, 8430.0 Myre, Norway",Myre,Norway,FFPP-SA,,980645762.0
N2356,Karl Viktor Fisk As,Karl Viktor Fisk As,"Hellandsgata 77, 8312.0 Henningsvær, Norway",Henningsvær,Norway,"FFPP, FFPP-P, PP-SA",,926549138.0
N2357,Vesteralen Seafood As,Vesteralen Seafood As,"Kloneset 35a, 8430.0 Myre, Norway",Myre,Norway,"FFPP, FFPP-P",,827392502.0
N2368,Hilde Stensen,Hilde Stensen,"Nymo Gård, 8647.0 Bleikvasslia, Norway",Bleikvasslia,Norway,FFPP-SA,,920214568.0
N2376,J. M. Nilsen Fisk As,J. M. Nilsen Fisk As,"Hamnegt 87, 8480.0 Andenes, Norway",Andenes,Norway,FFPP,,973186876.0
N2377,Reid Engseth,Reid Engseth,"Steinslandsveien 6, 8754.0 Øresvik, Norway",Øresvik,Norway,PP-ST,,928700437.0
N2380,Saltenfisk As,Saltenfisk As,"Trålveien 6, 8013.0 Bodø, Norway",Bodø,Norway,"FFPP-P, PP, PP-KL",,932119013.0
N2384,Træna Sjømat As,Træna Sjømat As,"Flottingveien 26, 8770.0 Træna, Norway",Træna,Norway,"FFPP, FFPP-P, PP, PP-SA",,929720261.0
N2391,Lofothau Produksjon As,Lofothau Produksjon As,"Havnekvartalet 4, 8370.0 Leknes, Norway",Leknes,Norway,PP-ST,,928158357.0
N2395,Storvik Gård As,Storvik Gård As,"Osbakken 10, 8145.0 Storvik, Norway",Storvik,Norway,"FFPP, PP, PP-ST",,929731107.0
N2396,Oppinor As,Oppinor As,"Gamle Skutvik Vei 36, 8290.0 Skutvik, Norway",Skutvik,Norway,"FFPP, FFPP-P, PP-C",,931592254.0
N2398,Futurum Seafood As Avd Henningsvær,Futurum Seafood As Avd Henningsvær,"Dreyers Gate 17, 8312.0 Henningsvær, Norway",Henningsvær,Norway,"FFPP-P, PP, RW",,916279884.0
N2404,Kolbjørn Aksel Johansen,Kolbjørn Aksel Johansen,"Skolbakken 2, 8752.0 Konsvikosen, Norway",Konsvikosen,Norway,PP-ST,,973882635.0
N2407,Aminor As Lovund,Aminor As Lovund,"Naustholmveien 13, 8764.0 Lovund, Norway",Lovund,Norway,"FFPP-P, FFPP-S",,932375613.0
N2408,Glea Salmon As,Glea Salmon As,"Gleaveien 11a, 8064.0 Røst, Norway",Røst,Norway,FFPP-P,,933690741.0
N2410,Kleppstadfisk As,Kleppstadfisk As,"J.M.Johansens Vei 19, 8340.0 Stamsund, Norway",Stamsund,Norway,FFPP-P,,986414061.0
N 869,Engeløya Fiskemottak A/L  V/Ståle Kjelstrup,Engeløya Fiskemottak A/L  V/Ståle Kjelstrup,"nan, 8289.0 Engeløya, Norway",Engeløya,Norway,"FFPP, PP-ST",,974049899.0
NT92,Gutvik Fiskemottak A/L,Gutvik Fiskemottak A/L,"nan, 7993.0 Gutvik, Norway",Gutvik,Norway,FFPP,,972591106.0
NT143,Rørvik Fisk As,Rørvik Fisk As,"Avd. Vandsøya Postboks 213, 7901.0 Rørvik, Norway",Rørvik,Norway,"FFPP, FFPP-P",,884084652.0
NT145,Sinkaberg Drift As Fabrikk,Sinkaberg Drift As Fabrikk,"Marøyvegen 110, 7900.0 Rørvik, Norway",Rørvik,Norway,"FFPP-P, FFPP-SA",,976544366.0
NT168,Rørvik Fiskemat As,Rørvik Fiskemat As,"Nyvegen 62, 7900.0 Rørvik, Norway",Rørvik,Norway,PP,,979848374.0
NT169,Rørvik Fisk As,Rørvik Fisk As,"Fryseriet, 7900.0 Rørvik, Norway",Rørvik,Norway,"FFPP, FFPP-P, PP-SA",,884084652.0
NT171,Rørvik Fisk As,Rørvik Fisk As,"Fryseriet, 7900.0 Rørvik, Norway",Rørvik,Norway,"FFPP, FFPP-P, PP, RW",,884084652.0
NT200,Aakervik M As,Aakervik M As,"Havnegata 16, 7800.0 Namsos, Norway",Namsos,Norway,FFPP,,971654910.0
NT290,Sagamat As,Sagamat As,"Smibekkv.2, 7717.0 Steinkjer, Norway",Steinkjer,Norway,PP,,979709994.0
NT330,Aakervik M As,Aakervik M As,"Havnegata 16, 7800.0 Namsos, Norway",Namsos,Norway,FFPP,,971654910.0
NT814,Gjert'S Gourmet As,Gjert'S Gourmet As,"Lauvøyvågveien 11, 7900.0 Rørvik, Norway",Rørvik,Norway,PP,,913841042.0
NT815,Havfruene.  As,Havfruene.  As,"Sundsøya 20, 7670.0 Inderøy, Norway",Inderøy,Norway,PP-MA,,888173552.0
