NOM DE L'ETABLISSEMENT,ADRESSE,PROVINCE/SERVICE PROVINCIAL/PORT D'ATTACHE,NUMERO AGREMENT/AUTORISATION,ACTIVITE DE L'ETABLISSEMENT,TYPE D'ACTIVITE
MIFACOP,PORT DE BENI NSAR NADOR,NADOR,4690,CONGELATION ET CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MIPROMER,PARCELLE N 85 BP 1712 NOUVEAU PORT AGADIR,AGADIR,2348,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MOHDAVNOR,ZONE FRANCHE DE TANGER,TANGER,3515,DECORTICAGE DES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MOUSSAOUI FISH FOOD,N°97 HAY RAJAA ANGLE RUE DES PLEIADES ET ALLEE DES LIONS CASABLANCA,CASABLANCA,PP.5.0001.14,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MOUSSAOUI FISH FOOD 2,N° 97 HAY RAJJA RUE DES PLEIADES ET A LLEE DES LIONS CASABLANCA,CASABLANCA,PEF.5.0129.17,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
MOUTEI ET GONZALEZ,AVANT PORT DE MEHDIA KENITRA,KENITRA,2388,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
MULTI MEAT,LOT N° 280 (E63) ZONE INDUSTRIELLE TASSILA II AGADIR,AGADIR,PEF.25.0045.16,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
NABAOCTOPUS,N° 674 FARHAT HACHAD Z.I DCHEIRA EL JIHADIA INEZGANE AIT MELLOUL AGADIR,AGADIR,PP.26.0040.14,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NEPTON FRIGO,"Z.I. EXTRA PORTUAIRE BP 317, EL OUATIA, TANTAN PLAGE",TAN TAN,3879,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NERMINE FISH,Lot n° 33 ZONE INDUSTRIELLE GZENAYA TANGER,TANGER,PEF.34.0227.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
NEW INDUS FISH,"LOT 80,ZONE INDUSTRIELLE BASSE,ROUTE DJORF,SAFI",SAFI,4984,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOBLEMAR,PORT DE PECHE DE MOHAMMEDIA,MOHAMMEDIA,PP.6.0167.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CRUSTACES VIVANTS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOR-DANSKE,PORT DE MEHDIA KENITRA,MEHDIA,PP.60.0121.16,"FUMAGE, EVISCERATION ET ETETEGE ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOUN’S FISH,"Km 42, CENTRE SIDI RAHAL ROUTE COTIERE CASA AZEMOUR SIDI RAHAL PLAGE",CASABLANCA,3339,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOUNE MAROC,QUARTIER MUNICIPAL INDUSTRIEL LOT N° 71 KENITRA,KENITRA,4512,EXPIDITION DES ANGUILLES VIVANTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOUVELLE OUGALA,PORT DE PECHE DE TAN TAN,TAN TAN,PP.68.0012.14,HUILE DE POISSON A CONSOMMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOUVELLE AVEIRO MAROC II,QI AIT MELLOUL AGADIR,AGADIR,3148,"CONGELATION, ENTREPOSAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOUVELLE COSARNO,RUE AL BAHARA QI. ANZA. BP.6196. AGADIR,AGADIR,2081,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOUVELLE COSARNO 2,RUE AL BAHARA QI. ANZA. BP.6196. AGADIR,AGADIR,PEF.25.0195.18,ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
NOUVELLE UNITE DIPROMER,"ZONE INDUSTRIELLE 2EME TRANCHE, LOT N° 26-27-28-29 BOUJDOUR",BOUJDOUR,PP.72.0251.20,"ETETAGE, EVISCERATION ET FILETAE DES PETITS PELAGIQUES, MARINADE DE POISSON, CONDITIONNEMENT DE FILET DE POISSON, TRAITEMENT ET CONGELATION DES PRODUITS DE LA PECHE ET CONGELATION EN iqf PAR IMMERSION EN SAUMURE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
O-2A-FISH,N° 136 Zone Industrielle Al Marsa Layoune,LAAYOUNE,PP.71.0250.20,"ETETAGE, EVISCERATION DES PETITS PELAGIQUES, FILETAGE ET CONGELATION DES CEPHALOPODES EN IQF ET SALAGE DE LA SARDINE CONGELATION, FILETAGE ET PREPARATION DU POISSON PANE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OCEAMIC BOUJDOUR,"LOT H 13, ZONE INDUSTRIELLE BOUJDOUR",BOUJDOUR,PP.72.0139.17,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE",
OCEAMIC LAAYOUNE,ZI LOT N 47 EL MARSA LAAYOUNE,LAAYOUNE,3336,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OCEAMIC LAAYOUNE II,MUNICIPALITE EL MARSA LOT N° 60 ZON E INDUSTRIELLE LAAYOUNE,LAAYOUNE,6127,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OCEAN DELIGHTS,LOT 238 PE 26 ZONE INDUSTRIELLE AGADIR,AGADIR,PP.25.3535.17,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OLVEA ATLANTIC,Z I LOT 631 BP 1761 AIT MELLOUL AGADIR,AGADIR,4079,FILTRATION DE L'HUILE DE POISSON DESTINEE A LA CONSOMATION HUMAINE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OMNIUM MAROCAIN DE PECHE INDUSTRIE,PORT DE PECHE DE TAN TAN,TAN TAN,1425,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OPROP CONGELATION,PORT DE PECHE DE TAN TAN,TAN TAN,3211,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
ORGAFOOD,ROUTE DU DJORF EL YOUDI SAFI,SAFI,6043,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OULAD LAKHLIGA FISH,LOT 140 ZONE INDUSTRIELLE ASSALAM DAKHLA,DAKHLA,PEF.74.0277.21,ENTREPOSAGE DES PRODUTS DE LA PECHE ET DE L'AQUACULTURE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
OUARZA FOOD,237 HAY EL MASSIRA OURZAZAT,OURZAZAT,6046,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
OUGALA II,PORT DE PECHE DE TAN TAN,TAN TAN,3653,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
OUJDA SAMAK,Lot Laayoune n° 33 Ain BORJA Casablanca,CASABLANCA,PEF.5.0207.19,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
OVERSEAS LINK INTERNATIONAL,ROUTE LAAYOUNE QUARTIER INDUSTRIEL AL WATAYA N° 56/914 ZONE EXTRA PORTUAIRE TAN TAN PORT,TAN TAN,5889,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,CONGELATION ET FILETAGE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PALACE FISHES,Z.I LOT N° 52 WIFAK OULFA SASABLANCA,CASABLANCA,4572,CONGELATION ET ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES"
PAMAPECHE,PARCELLE N° 30 ZI NOUVEAU PORT D’ANZA AGADIR,AGADIR,3276,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PATY'S,LOT 169 à 180ZONE INDUSTRIELLE SUD- OUEST DE MOHAMMEDIA,MOHAMMEDIA,PP.6.0190.18,"ELABORATION DES PRODUITS PRECUITS, PANES ET SURGEL2S 0 BASE DES PRODUITS DE LA PECHE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PECHE ET FROID DU SOUSS,ANCIEN PORT DE PECHE AGADIR,AGADIR,1322,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PELAGIQUE INDUSTRIE,"N°1-11,LOT PARC HALIOPOLIS, CR DRARGA TIKIOUINE, AGADIR",AGADIR,PP.25.0220.19,CONSERVE DE POISSON,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PELAPRO,LOT N° 35 ZONE INDUSTRIELLE EL MARSA,LAAYOUNE,PP.71.0186.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESBAK ET BENJELLOUN II,MAGASIN N° 1 PORT DE PECHE TANGER,TANGER,5443,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCAB,LOCAL N° 13-14 PORT DE PECHE DE TANGER,TANGER,PP.34.0164.18,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCA DEL SUR,ZI VILLE DE DAKHLA,DAKHLA,2385,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCA GHARB,AVANT PORT DE MEHDIA,KENITRA,3287,"CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, CONGELATION, PREPARATION DES PRODUITS SEMI CUITS, DECORTICAGE DES OURSINS ET MARINADE","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCA MAREE IMPORT EXPORT,Km 16.5 DOUAR AARABA DAR BOUAZZA PROVINCE DE NOUCEUR CASABLANCA,CASABLANCA,PP.7.3389.17,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCA ZERHOUN,PORT DE PECHE DE TANGER,TANGER,PP.34.3583.19,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCADAK,Z I ESSALAM DAKHLA,DAKHLA,3411,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCADOS LA COSTA DEL MAR,N° 10 PORT DE M DIQ BP 251,NADOR,PP.50.0142.17,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCADOS DEL CANTO,PORT DE PECHE DE BENI ENSAR,M'DIQ,2515,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCADOS PUNTAMAR,Port de Mehdia kENITRA,KENITRA,PP.60.0198.19,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PESCONDA,NOUVELLE ZI LOT 181 ET 182 DAKHLA,DAKHLA,3122,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PINK SALMON,N 442 ZI SIDI GHANEM MARRAKECH,MARRAKECH,4116,FUMAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PLURI FISH,LOT AL MASSAR N° 31 ROUTE DE SAFI MARRAKECH,MARRAKECH,PEF.19.0149.17,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
POLE FISHS,"DOUAR HART HAMRI, DAR BOUAZZA,NOUACEUR CASABLANCA",CASABLANCA,PEF.7.0072.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
POLYVALENT ENNAJAH,29 RUE DE LA PYRAMIDE BELVEDERE CASABLANCA,CASABLANCA,1310,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
POULPO MAR,LOT 121 NOUVELLE ZI DAKHLA,DAKHLA,3237,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PRO CO SAF,ZI ROUTE DE JORF LYOUDI,SAFI,3694,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PROCESSING AND TRADING SEAFOOD,"LOT HALIOPOLIS N° 11,12 COMMUNE DRARGA AGADIR",AGADIR,PEF.25.0109.16,ENTREPOSAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
PROCESSING AND TRADING SEAFOOD 2,LOT HALIOPOLIS N° 11 ET 12 AGADIR COMMUNE DRARGAR,AGADIR,PP.25.0122.17,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RAISSMER,ZI LOT 32 ET 33 DAKHLA,DAKHLA,3223,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RAOIHANE,RUE ASSINAA QUARTIER INDUSTRIEL ANZA AGADIR,AGADIR,2580,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RAYLO,RUE ALMILAHA Q I D'ANZA,AGADIR,PP.25.0219.19,DECORTICAGE ET MARINADE DES CREVETTESET CONGELATION DU JUS DE L'EXTRAIT DES ISSUES DE DECOPRTICAGEDES CREVETTES,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
REGIE AUTONOME DES FRIGORIFIQUES DE CASABLANCA,"AVENUE 10 MARS SIDI OTHMAN, CASABLANCA",CASABLANCA,PEF.5.0067.15,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
REINA D’EL COSTA,KHALIL II RUE 4 N 97 LA VILETTE CASABLANCA,CASABLANCA,1393,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
REKTA KRIFA,RUE PRESIDENT BEKKAI Q.I AGADIR,AGADIR,2022,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RESTAURANT LANGOS,"DOUAR LAHFARI, COMMUNE RURALE MEJATIA OULED TALEB MEDIOUNA CASABLANCA",CASABLANCA,PP.8.0048.15,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RESTINGA MAR,"Z.I N° 18 BP 77 SELOUANE, PR DE NADOR",NADOR,3192,"CONGELATION, CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS, MARINADE, PREPARATION DE POISSON SALE CONGELE, CUISSON DE POULPE ET CONGELATION DE POULPE CUIT","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
REYTE MAROC,STALLE N 8 PORT DE PECHE CASABLANCA,CASABLANCA,1301,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RGUIMAR QUESADA,LOTS 41 ZONE INDUSTRIELLE BP 808 SAFI,SAFI,5108,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RIJAL SAKIA AL HAMRA,ZI LOTS 181-192 ESSALAM DAKHLA,DAKHLA,3400,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RIJAL SAKIA EL HAMRA,ZONE INDUSTRIELLE EL MRSA LAAYOUNE,LAAYOUNE,PP.71.0027.14,CONGELATION ET FILETAGE,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RIO EXPORT,QI HAY ES SALAM DAKHLA NOUVEAU QI,DAKHLA,2914,CONGELATION,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
RIO GLACE,LOT 99 /100 HAY ESSALAM DAKHLA,DAKHLA,3031,"CONGELATION DES PETITS PELAGIQUES, ETETAGE ET EVISCERATION ET PREPARATION DE LA PATE DE SARDINES ET MAQUEREAUX","ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
SAFA SAMAK,19 LOT ENNACER AFOURER AZILAL,AZILAL,3939,ENTREPOSAGE,ENTREPOSAGE DES PRODUITS DE LA PECHE SOUS TEMPERATURE DIRIGEE Y COMPRIS LES COQUILLAGES
SAFI PESCADOS,LOT 33 Z.I SAFI,SAFI,PP.52.0108.16,CONDITIONNEMENT DES PRODUITS DE LA PECHE A L'ETAT FRAIS,"ETABLISSEMENTS OU ENTREPRISES DE PRODUCTION, DE TRAITEMENT, DE TRANSFORMATION, DE CONDITIONNEMENT ET OU CONSERVATION DES PRODUITS ET SOUS PRODUITS DE LA PECHE"
